file 1:
ἀμφιέννυμι : 2
κέραμος : 3
παιδάριον : 4
καλοκἀγαθία : 2
ἐρέφω : 2
Σελινούντιος : 2
μετεξέτεροι : 3
ἀναμείγνυμι : 4
τριταῖος : 6
προσστάζω : 4
εἰσαίω : 2
καρπός2 : 2
ἐτώσιος : 3
ἀνανεύω : 3
ἐθελοκακέω : 2
εἶδαρ : 2
ἐκπίνω : 2
μινύθω : 5
ἔμφρων : 2
ἐκπορίζω : 3
Αὖλος : 2
Θέρμα : 2
τροχός : 4
ναυτίλλομαι : 2
ἀγέρωχος : 2
χατέω : 2
ἐπόμνυμι : 2
εὐπορία : 2
ὑπόνοια : 2
ὑπέρκειμαι : 2
ὑγιεινός : 2
εὐνοῦχος : 2
αἶσχος : 2
ἀναπάλλω : 2
προτρέπω : 2
ἀποδοχή : 2
δέλτα : 2
ἀπονεύω : 2
ἐκτάσσω : 4
ὑπεκφεύγω : 4
ἐρέτης : 2
Σόλων : 9
ἐκλογή : 2
πλάγιος : 8
ἄλλυδις : 2
ἐρυμνός : 3
ὁπλότερος : 2
ἔριον : 2
μαντοσύνη : 2
Κεφαλληνία : 5
Κολχίς : 3
εἰσηγέομαι : 2
ἑταίρα : 4
ἔμβολος : 4
χερείων : 2
ἀπονέομαι : 2
ἐπιορκέω : 2
πρόσφορος : 2
ἀπαραίτητος : 2
ἀπᾴδω : 2
μενοεικής : 5
μεσόγαιος : 5
εὐδαιμονέω : 3
Αἰακός : 2
αἰώνιος : 3
μωρός : 2
πᾶσις : 2
σέβω : 2
Βάκτριος : 3
Ζάκυνθος : 2
μεταχειρίζω : 3
ἔνδικος : 2
σάρισα : 2
Παιάν : 2
ξηρός : 2
διαφίημι : 2
κατήγορος : 2
παροίχομαι : 2
Τάρταρος : 2
δυσμή : 2
δυνατέω : 2
Ἀρήτη : 4
ῥάθυμος : 6
ὑπόδημα : 2
ἐφευρίσκω : 6
ἄθυμος : 2
κλισμός : 7
ἀέκητι : 2
εὐχωλή : 5
δινήεις : 2
Ἔφορος : 2
οὐλαμός : 5
λάϊνος : 2
Παλλήνη : 2
Σελεύκεια : 4
ἐπιζητέω : 2
ἄχρι : 4
ἐπαΐω : 4
τέρην : 2
ἀνακαίω : 2
ἀναχάζω : 3
μίτρα : 3
Λυδία : 2
Πῖσα : 2
πτολίπορθος : 3
ὑπεροράω : 2
Μήλιος : 2
κατακλείω : 2
ἀντιπέρας : 2
ψόφος : 3
πρόσχημα : 3
ῥώννυμι : 5
τετράγωνος : 4
ἀνδραγαθία : 2
ῥήτωρ : 7
ἀεκούσιος : 2
κόσμιος : 4
βρῶσις : 2
κύω : 2
οὖλος : 4
ὑπένερθε : 2
ὑλήεις : 5
ἀλήτης : 2
ἐπάρχω : 3
πίθος : 6
δάπεδον : 2
κομέω : 3
κνῖσα : 2
ζώννυμι : 2
ὀβολός : 2
αἰγίς : 2
ἱμερόεις : 2
ἄγροικος : 2
Πάριος : 2
πτύξ : 2
δακρυόεις : 4
ὑφορβός : 2
ὀρεινός : 2
Θηραῖος : 2
στάζω : 3
ἐπιστρατεύω : 2
ἑστιάω : 2
Καμαριναῖος : 2
λεκτέος : 6
Σαλαμίνιος : 6
ἐλεός : 2
ὑπέκ : 2
συναγείρω : 2
οὖλος2 : 4
ἐπιφράζω : 2
ἧσσα : 2
γονή : 2
ὄψον : 5
ταμίας : 2
προσωτέρω : 2
φιλομαθέω : 3
φιλονικία : 2
πανημέριος : 2
διαμαρτάνω : 2
χήν : 2
εὔκλεια : 5
λιάζομαι : 5
Πύρρος : 2
ἀγακλειτός : 3
Λιβυκός : 4
ἀγήραος : 2
Αἶα : 2
οἰόομαι : 2
χιλιάς : 2
βάδην : 2
νουνεχής : 5
καλλιπάρηος : 6
λογάς : 2
Βόσπορος : 6
πάμπολυς : 3
ἐφέστιος : 4
ὀϊζύς : 3
Εὔξενος : 3
ἀποδοκιμάζω : 3
ὁπόταν : 2
βότρυς : 3
εὔξεστος : 2
μακαρίζω : 2
βῆσσα : 3
κρατύνω : 2
ὑπερῷον : 4
σβέννυμι : 3
πάνδημος : 2
δημοκρατέομαι : 2
λαγώς : 2
γυμνάσιον : 2
Νάξιος : 2
αἰπεινός : 2
δίω : 2
ἀκρίβεια : 2
Πέλοψ : 2
ἀλόγιστος : 2
μαλθακός : 2
μηρία : 2
Κρίτων : 2
ἀκρωτήριον : 2
Μάρκιος : 2
βουνός : 2
νάπη : 3
ποτή : 2
δειλία : 2
ὑψόσε : 6
κατασφάζω : 2
Σοφοκλέης : 5
παρακομίζω : 3
κατόρθωμα : 2
ῥάβδος : 3
ἐξαῦτις : 2
Φλειάσιος : 3
Ἀτρεύς : 5
ἀριθμέω : 2
σκόπελος : 4
ἀμφιβάλλω : 2
πεδάω : 2
ξυνός : 3
πρεσβύτης : 2
ἴτης : 2
Πάρος : 3
ἀστερόεις : 2
προκάθημαι : 3
ἐκτρέφω : 2
ἀνοχή : 2
ὀκτακισχίλιοι : 2
ἐλελίζω2 : 2
κῶμος : 2
ἀσεβής : 2
παρατυγχάνω : 2
ἀξιόλογος : 2
κλειτός : 2
ἀξίωμα : 2
θρῆνος : 5
Περσίς : 3
Θρασύβουλος : 2
μέδων : 2
θηριώδης : 5
θέσφατος : 4
ἐρεθίζω : 2
μολπή : 2
μουσική : 2
ἄκρατος : 2
βούλησις : 3
ἰδυῖα : 2
κατεσθίω : 2
δολιχός : 2
Πέργαμος : 3
γαιήοχος : 2
ἀπόρρητος : 2
περιουσία : 2



file 4:
emmi nel file json 4000
elementi ripetuti: 918


I am unable to access local files on your computer, including the JSON files you mentioned. Therefore, I cannot provide a response based on their content.

However, I can format the list you provided in your last message. Here is the formatted list:

```
ἀμύσσω : 2
διαπλέκω : 2
διακλίνω : 2
διαζάω : 2
διασκευή : 4
καταστορέννυμι : 3
διαπορθμεύω : 4
Νιόβη : 2
παραείδω : 6
γειτνιάω : 2
Πανιώνιον : 2
δρηστήρ : 2
Καρδία : 2
δρύϊνος : 2
δορά : 2
Πετεώς : 2
τριχῆ : 12
ὑπερπέτομαι : 4
ἐμπολάω : 2
Ἰουδαία : 2
Βάκις : 2
κατόμνυμι : 3
διοϊστεύω : 2
ὕδρα : 16
κατήφεια : 4
δίπηχυς : 4
καταχρυσόω : 2
κόθορνος : 3
κύβος : 3
δύσφορος : 2
ἑξάμετρος : 2
Νῖσος : 2
Κότυς : 3
δολιχήρετμος : 2
διοράω : 2
Ἕρμιππος : 2
κελευστής : 3
ἐπαίτιος : 2
εἰσβιβάζω : 2
Ἄκαστος : 2
τρύω : 11
βῶλαξ : 2
Μύρκινος : 2
Ἐλευσίνιος : 2
παρέζομαι : 4
ἐπικύρω : 2
αἰχμοφόρος : 2
ἐπικαθίστημι : 2
ἐπιγνάμπτω : 2
κεραυνίας : 2
πυροφόρος : 2
αὐθάδεια : 2
ἐπίφρων : 2
ἐργάτης : 2
ἐπιτολή : 2
ὑπέρθεσις : 4
Ἀβδηρίτης : 2
κηδεστής : 5
κίβδηλος : 4
ἀγρέω : 2
ἐπίκλοπος : 2
ἀγοραῖος : 2
ἀποπέτομαι : 2
ἀγκάς : 2
ἁγνίζω : 2
παροίτερος : 7
θεοσεβής : 2
αἴνιγμα : 3
ἀδιάπτωτος : 2
Κηφισός : 5
ἴδη : 2
καινόω : 2
κληρονόμος : 6
εἰκαθεῖν : 2
εἰσάπαξ : 3
ἀϊδρείη : 2
κομπάζω : 3
ἔκδηλος : 3
εἴσαντα : 2
αἱμύλος : 2
εἰσνοέω : 2
ἄκαιρος : 2
κλεῖθρον : 4
ἐκδιδράσκω : 3
ἀκρόασις : 2
κληρόω : 6
κλισίηθεν : 4
εὔας : 2
Ῥηνεία : 2
πρεσβεῖον : 4
πρέμνον : 2
εὐάρματος : 2
πρᾶσις : 4
εὔανδρος : 2
Λεοντιάδης : 3
Ἄτυς : 2
εὐεργός : 2
Κάμειρος : 2
εὐεπίθετος : 3
ἀνάεδνος : 3
γυμνοπαιδίαι : 2
Φήμιος : 3
εὐκίνητος : 3
εὐνητήρ : 2
Πλευρών : 2
προαπόλλυμι : 3
Κητώ : 2
Πετραῖος : 2
Καρδαμύλη : 2
Σάκας : 2
ὀρείτροφος : 2
Τέλλος : 2
Πολύκλειτος : 2
εὐπηγής : 4
Κόρη : 2
προεξάγω : 4
εὐπρέπεια : 5
εὐλαβητέος : 2
Τιθραύστης : 2
Στησίμβροτος : 2
Διόσκοροι : 2
εὐνοϊκός : 2
ἐϋπλυνής : 4
Ἄκτιον : 3
Χαιρέας : 3
Πασίων : 2
Χοάσπης : 3
Παῦλος : 2
προξενέω : 3
Τορκουᾶτος : 2
Μεθυδριεύς : 2
ἔκθεσις : 2
Κηφεύς : 3
Ἐτεόνικος : 2
ἑκατογκεφάλας : 2
ἁγιάζω : 2
εἰσαγείρω : 2
εἰνάτερες : 2
Ἐχῖναι : 3
Ὠρεός : 2
ἐκπυνθάνομαι : 2
εὐτράπελος : 2
ἐπιτειχισμός : 2
Πυθίων : 2
λευρός : 2
ἔμβρυον : 2
παχύνω : 2
συνέλκω : 2
ἀγγελιαφόρος : 2
ἀβίωτος : 2
ἐπίτιμος : 2
ἀπαυδάω : 2
ἐξορύσσω : 2
ἐφορμή : 2
ἐφόρμησις : 3
συνεφεδρεύω : 4
ἕωσπερ : 2
ἀγώνιος : 2
συνέστιος : 2
συνευδοκέω : 2
προσεπιτάσσω : 2
συνοικία : 2
ἐπιλείβω : 2
ἡδύποτος : 2
ἀθεμίστιος : 2
συνίστωρ : 2
εὐπρόσωπος : 2
ζωγρίας : 2
αἱματόω : 2
προσθετέος : 2
συνωθέω : 2
καταχώννυμι : 3
ἀκτέος : 3
προσπαρακαλέω : 3
ἄκληρος : 2
ἠριγενής : 3
προσοικέω : 2
ἠοῖος : 2
ἡρῷον : 2
καρτερόω : 2
τῆνος : 2
εὔορμος : 2
ἀλαοσκοπιά : 2
τηλόσε : 2
τήβεννα : 2
ἡσύχιος : 2
ἄληπτος : 2
θέαινα : 2
προστρέπω : 5
Σχερία : 2
ἄλοξ : 2
Θηβαιεύς : 2
προτέμνω : 7
προσωφελέω : 6
ταλαίφρων : 2
προτρέχω : 4
σωρός : 2
κατάρρυτος : 2
ἀμετάθετος : 2
ἁμαρτωλός : 2
ἀμέτρητος : 3
ἁλώσιμος : 2
κεφαλαιόω : 2
ταναήκης : 2
θρεπτήριος : 2
ἀμπέλινος : 2
ἀμοιβηδίς : 2
ἀναγκαστέος : 2
Ταρτησσός : 2
θυηπολία : 4
τάρφος : 2
ἀνακινδυνεύω : 2
λαφυροπωλέω : 2
λατρεία : 2
ἀναθορυβέω : 2
πρυμνόν : 5
ταώς : 2
θυόεις : 2
Μεγαρικός : 2
μεγαλωστί : 2
θωΰσσω : 3
ἀγέραστος : 2
Ἠχώ : 2
ἁμαρτῆ : 2
ἀνασχίζω : 2
ἄγονος : 2
ἱερομηνία : 2
ἱερόσυλος : 2
κερδοσύνη : 4
ἱερωσύνη : 3
ἀέριος : 2
σαγηνεύω : 5
Ἀδράστεια : 2
οἰστράω : 2
ἀνορύσσω : 2
αἱρετής : 2
ἰήϊος : 2
ἀλεκτρύαινα : 2
Πυθιάς : 3
ἀντίδουπος : 2
ἱππαρχέω : 3
ἀκρόαμα : 2
ἀντιθέω : 2
ἀκμής : 2
ἀντεξάγω : 2
ἱπποτροφία : 3
ἄμορφος : 2
ἱπποκόμος : 2
ῥαθάμιγξ : 3
ἀπαίδευτος : 2
ἀνταμύνομαι : 2
ἰχώρ : 2
ἴστωρ : 2
σαλπίζω : 4
κακόνοος : 3
ἀπέλεθρος : 2
Καῖσαρ : 2
ἀποδοκεῖ : 2
καινότης : 2
καλινδέομαι : 3
τέλσον : 2
κληρουχία : 3
Καλλιόπη : 2
ἀποκινδυνεύω : 3
αὐλῶπις : 2
ἀποδιώκω : 2
ἀποδειροτομέω : 2
κατασχεθεῖν : 3
βιωτικός : 2
ἀπόπειρα : 2
καλλιστέφανος : 2
καλλιρέεθρος : 2
ῥωπήϊον : 3
γυμνασία : 2
σάλος : 3
ἀρείφατος : 2
ἀποσπένδω : 2
ἀπόρνυμαι : 2
σηπεδών : 4
τερασκόπος : 2
σέλμα : 2
κατερητύω : 2
κατολιγωρέω : 2
κεμάς : 2
κέδρος : 2
κατῶρυξ : 2
ἄροσις : 2
κέντημα : 2
ἄρνειος : 2
σκαλμός : 4
ἀρτίπους : 2
ἀρτεμής : 2
σισύρα : 3
σιτοποιός : 4
αὐτεπάγγελτος : 2
ἄρωμα : 2
σκληρότης : 4
ἀσπουδί : 2
ἐπάρατος : 2
ἐπενήνοθε : 2
κισσύβιον : 2
εὐημερία : 2
αὐλητικός : 2
εὐδιάω : 2
ἀτταγᾶς : 2
ἠρινός : 2
σμινύη : 5
ἀφελής : 2
σμυγερός : 5
Στάγιρος : 5
ἰσότης : 2
ἱπποβότης : 2
κοπιάω : 3
σταγών : 4
κότινος : 4
ἀδάματος : 2
σπιθαμιαῖος : 5
καταστένω : 2
κορυστής : 2
βηλός : 3
βέβηλος : 2
λισσάς : 2
βλωθρός : 2
βουλυτός : 2
βούλημα : 2
σταλαγμός : 2
γανάω : 2
μέλε : 2
κώκυμα : 3
οἰδέω : 2
γλυφίς : 2
ὄγμος : 2
ξουθός : 2
γημόρος : 2
γηθοσύνη : 2
Λυρνησσός : 3
ὁμομήτριος : 2
ὁμόω : 2
μόσσυν : 2
ὀλοφυρμός : 2
κυπαρίσσινος : 4
οἰχνέω : 2
σπολάς : 7
σπήλαιον : 6
δαίτης : 3
στωμυλία : 8
οἰνοβαρής : 2
οἰκουρέω : 2
γρόσφος : 2
ἀεικία : 2
δαφοινός : 2
οὖθαρ : 2
ἀποτηλοῦ : 2
ὀρχηστής : 2
λειτουργός : 4
ἀφοσιόω : 2
πατροκασίγνητος : 2
παρατρίβω : 2
παρωθέω : 2
Λαρισαῖος : 2
στείβω : 14
παραποτάμιος : 2
παραπομπή : 2
διάδηλος : 3
διαπτοέω : 2
δηλαδή : 2
ἀντιφερίζω : 2
πινάκιον : 2
πολυκηδής : 2
πλάνης : 2
διάπλοος : 2
πολίχνη : 2
διάπειρα : 2
διανομή : 2
λῆρος : 3
λισσός : 2
Ποτνιάς : 2
πολυειδής : 2
πόσε : 2
διεξαγωγή : 3
πολύχαλκος : 3
στρεύγω : 5
πλινθεύω : 2
πολυπήμων : 2
αὐχμέω : 2
λοφιά : 4
λύγξ2 : 3
λογοποιός : 2
προεδρία : 2
αὐσταλέος : 2
αὐγάζω : 2
διαχωρίζω : 3
διείρομαι : 2
δίδημι : 2
προδιαφθείρω : 2
ἔγκοτος : 3
συμπάσχω : 10
προσαιρέομαι : 2
διερευνάω : 3
τετράπηχυς : 2
λυσιμελής : 3
προξενία : 2
διεκπεράω : 2
διαζεύγνυμι : 2
διαδατέομαι : 2
πρόχνυ : 2
πρυλέες : 2
Πύθης : 2
λωβητήρ : 4
διϊκνέομαι : 2
διηθέω : 2
προσεάω : 2
διολισθάνω : 2
προσπολεμόομαι : 2
προσπληρόω : 2
σεμνόω : 2
σιδήριον : 2
Σικανία : 2
πτίλος : 2
στέαρ : 2
δορπέω : 3
δορκάς : 2
σμύχω : 2
σπόρος : 2
δολοφονέω : 2
μάσσων : 3
δρύπτω : 3
στροφάλιγξ : 2
σμῖλαξ : 2
δράμημα : 2
στίλβω : 2
συναπόλλυμι : 2
μεγαλύνω : 3
μεγαλαυχέω : 2
δυσθυμία : 2
στρατηλάτης : 2
ὕπαρξις : 2
μελάνυδρος : 3
ὑποδαμνάω : 2
ὑπογραφή : 2
Μελία : 2
μελίγηρυς : 2
μεσόδμη : 5
εὐερκής : 2
φελλός : 2
σφάγιος : 2
φειδώ : 2
ἐφήδομαι : 2
ἐπιμίξ : 2
εἰσχέω : 3
φλοιός : 2
τανυσίπτερος : 2
εἰλαπινάζω : 2
τειχήρης : 2
μεταδιώκω : 3
τεχνάζω : 2
ἐπισμυγερός : 2
μετανίσομαι : 4
ἀγηνορία : 2
ἑκατόμπεδος : 3
ἐκδημέω : 3
ἐρύθημα : 2
ἱππιοχάρμης : 2
χολή : 2
ὑλοτόμος : 2
ἐκλαμβάνω : 3
Ποσιδήϊον : 2
μεταρρίπτω : 2
μεταπείθω : 2
φυσίζοος : 2
ἐκκρούω : 2
μετήορος : 2
Αἴσωπος : 2
Γυγαίη : 2
μήκων : 2
μονόξυλος : 3
Φυλεύς : 2
Μέροψ : 2
μητιόεις : 2
Καύκωνες : 2
Κλεοφῶν : 2
μισθοδοσία : 3
Οὐαλέριος : 2
Παρύσατις : 2
Καλλιρρόη : 2
στρατόω : 2
Σόλοι : 2
Κίος : 2
ποτόν : 2
Φεραῖος : 2
μόριος : 2
ναυτίλος : 4
ῥῶ : 2
νεκτάρεος : 6
μήτις : 2
ἐννέωρος : 2
σχοινίον : 2
νεάτη : 4
ναυσιπέρατος : 3
ἐπαλάομαι : 3
νεοσσιά : 2
περίλοιπος : 3
οἰκτίζω : 2
συζεύγνυμι : 4
συγκομιδή : 4
συγκάθημαι : 4
συλλαβή : 5
νήνεμος : 2
ἀντιδράω : 2
νικηφορία : 3
συμπολιορκέω : 13
ἐξαυδάω : 2
ἀγλαόκαρπος : 2
ἐξόπιθεν : 4
ἀποστυγέω : 2
ἀθλέω : 3
ἐξοικοδομέω : 3
ἁδρός : 2
ἄτεκνος : 2
συναγορεύω : 4
ἀθῷος : 3
ἀρτάβη : 2
ἀρτέομαι : 2
σύμπλοος : 11
ἄρμενα : 2
ἀρότης : 2
Ἄραψ : 2
ἀεσίφρων : 2
ἀφορία : 2
ἄφενος : 2
αὐχμός : 2
σιτοδεία : 2
αὐτοφυής : 2
νωθής : 2
ἐπανατέλλω : 2
ἐπεκτείνω : 3
ἐπεισπίπτω : 3
ὁδοποιέω : 4
ἀκμηνός : 2
ἄκμηνος : 2
ξηραίνω : 2
ἐπαράομαι : 2
ἀλγύνω : 2
ἀκρωτηριάζω : 2
ἐπίγραμμα : 2
συναδικέω : 5
οἰήιον : 3
ἐπιμειδάω : 2
εἰσπέτομαι : 2
ἐκπορθέω : 2
ἐκραίνω : 2
ἐπιίστωρ : 2
ἐκπαθής : 2
ἐπιδορατίς : 3
ἐπικλάω : 3
οἰνάνθη : 3
ὀκέλλω : 4
ἐμβριθής : 2
ἅμμα : 2
ἀμπελόεις : 2
ἀμολγός : 2
ἀναγνεία : 2
ὀκνηρός : 4
ἀναλέγω : 2
ἀνάλογος : 2
ὀλίγωρος : 3
ἑφθός : 2
ἔφορμος : 2
ἀναπείρω : 2
εὐῶπις : 2
εὐχαριστία : 2
ἀναπλόω : 2
ἀντέπειμι : 3
ὀξύτης : 5
ἐφήμερος : 2
ἀνηκουστέω : 2
συνάλλαγμα : 6
ἄνεσις : 3
ἀνείργω : 3
θυμικός : 2
ὀλοφώϊος : 3
ὀλοφώιος : 4
ἀναψύχω : 2
σύμφυτος : 5
θέρμη : 2
ἐπίταξις : 2
ἐπίσωτρον : 3
συναναβαίνω : 6
συναναγκάζω : 5
κάμμορος : 2
ἐπιφορέω : 2
ἀντέξειμι : 2
ἐρέθω : 2
κορέω : 2
ἀντιφωνέω : 2
κόρυμβος : 2
καταπρηνής : 2
συνεξέρχομαι : 6
καταπέτομαι : 2
ἀπάρχομαι : 2
ἐρεύθω : 2
ἄπλοια : 3
ἀποσκοπέω : 2
λογοποιέω : 2
λίψ : 2
συνεξορμάω : 5
ὁπλή : 2
κατερέω : 2
ἀποδέω : 2
ἀποδεκτέος : 2
κατασκήπτω : 2
μάσσω : 2
ὅριον : 2
ἀποκλαίω : 2
ἀποκληρόω : 2
ἀπόκλητος : 2
ἀπόκειμαι : 2
ἀπολαγχάνω : 2
τρίμηνος : 14
εὐήρης : 3
εὐθηνέω : 3
εὐεργέτημα : 2
κρουνός : 2
ἄπολις : 2
κυρτός : 2
ἀπόλεμος : 2
λίβανος : 2
εὔθυμος : 2
εὐθεώρητος : 2
ὀλισθάνω : 2
μαχαιροφόρος : 2
μανικός : 2
ἄρθμιος : 2
εὐτείχεος : 2
εὔχαρις : 3
ἑψιάομαι : 3
οὐδαμά : 2
παραπορεύομαι : 2
ἐφαρμόζω : 2
ἀρχαιρέσια : 3
τριακόντορος : 13
Ἅρπυιαι : 2
τραγῳδέω : 7
ὀχετός : 10
περιδέω : 2
τριπλάσιος : 14
πένταθλον : 2
ἄσκοπος : 2
ἀστραπή : 2
ᾆσμα : 2
Βάκχευμα : 4
παστάς : 2
ἀτερπής : 2
ὀχλίζω : 8
ἀτέκμαρτος : 2
Ῥαδάμανθυς : 2
ἄτροπος : 2
ζαμενής : 2
ῥᾳδιουργία : 2
σταφυλή : 2
ἡδυμελής : 2
πρίω : 2
σταθμόομαι : 2
ἡλικιώτης : 2
κάρ : 2
πότερον : 2
σκιερός : 2
παιγνία : 8
προτύπτω : 2
τηλαυγής : 2
ἡσυχῇ : 2
ἦρα : 2
ἦνις : 2
ἀφυλακτέω2 : 2
σαφηνής : 2
βαθύκολπος : 2
Ἀντισθένης : 2
βέλτερος : 2
στρατιῶτις : 2
βυσσός : 3
συμπροπέμπω : 2
θυμοβόρος : 3
θυίω : 2
γενετή : 2
θωρακίτης : 3
Τιμολέων : 2
συνεκπίπτω : 2
ἰατήρ : 2
τάφος2 : 2
ὑετός : 2
ποδηνεκής : 2
γλίχομαι : 2
ὑψόω : 3
ἰδίω : 2
Γηρυόνης : 2
παρείκω : 2
ἀγρυπνία : 2
σαυρωτήρ : 2
ἄγκοινα : 2
δασμοφόρος : 2
ἀγακλεής : 2
ἄλευρον : 2
πάντοτε : 4
δεινόω : 2
ἀλκί : 2
ἀλκυών : 2
ἀναφύω : 2
ἀνατλῆναι : 2
ἀνάμιγα : 2
ἀναμφισβήτητος : 2
χρυσηλάκατος : 2
παραγωγή : 4
ἱππόδρομος : 2
Μεγάρη : 2
Αὐγείας : 2
Πίνδος : 2
καλαῦροψ : 3
διαζώννυμι : 2
καθιερόω : 2
καλλιγύναιξ : 2
κάλλιμος : 2
Μετάνειρα : 2
καλάσιρις : 2
διαλαγχάνω : 2
διακαίω : 2
μέσαυλος : 2
λῆμμα : 3
κῶμα : 2
ἐκκαθαίρω : 2
Τριτογένεια : 7
ἑκκαιδέκατος : 3
τρίγωνος : 9
νεῦρον : 2
ἁλιεύς : 3
λῃστεύω : 2
τριπλόος : 7
λαοσσόος : 2
ἀλίμενος : 2
ἐκρέω : 3
ἀλλοτριόω : 2
κρυφαῖος : 3
πεῖσα : 4
ἀμέλει : 2
ἀμαυρός : 2
πρωτοστάτης : 2
νεκρόω : 2
προσφύω : 2
πελανός : 5
ἀμφασίη : 2
προσχράομαι : 2
ἀνακοινόω : 2
ἀντλέω : 2
ἀναπτερόω : 2
κορυφαῖος : 3
κρατερῶνυξ : 3
ὀρφναῖος : 2
ἀναστέλλω : 2
κρόκος : 3
ἐνθρῴσκω : 2
πεντακισμύριοι : 5
κρυόεις : 4
κραυγάζω : 4
ἐνσκίμπτω : 2
ἐνοχλέω : 2
ἄνοδος : 2
ἐνωμοτία : 3
ἄνοδος2 : 2
ἀνθηρός : 2
ἐπήτριμος : 2
τετραίνω : 2
Περσηΐς : 2
ἐξάνειμι : 3
κυβερνητικός : 2
ἐπαναγκάζω : 3
σύνοπτος : 2
ἐξαρνέομαι : 2
κρύσταλλος : 2
κυνηγετέω : 5
κυκεών : 3
ἀπαίνυμαι : 2
ἐξυβρίζω : 2
κυνηγέτης : 3
κυνώπης : 3
τανύπεπλος : 2
πτελέα : 2
κώλυμα : 4
ἐπάϊστος : 2
ἀβουλέω : 2
πυκνόω : 2
κωμήτης : 3
πτύσσω : 2
πρωκτός : 2
ἐπαρχία : 2
ῥοῖζος : 2
ἀμάω2 : 2
ῥῦμα : 2
ἐπιδιαβαίνω : 3
ἐπευφημέω : 2
ἀποκατάστασις : 2
ἀποστροφή : 2
τέλμα : 2
ἐπίκαιρος : 2
ἀποσταυρόω : 2
ἀποκάμνω : 2
περιπορεύομαι : 2
ἐπικλείω : 2
συμπληρόω : 2
ἀποσῴζω : 2
αἰθέριος : 2
ὑπέροχος : 5
περιστερά : 5
ἐπιλάμπω : 4
περίρρυτος : 6
ἀπαρνέομαι : 2
περισπασμός : 5
πετρήεις : 9
ἀναλογίζομαι : 2
ὑπερηφανία : 5
περιφορά : 7
περιμάχητος : 5
ἀλλαγή : 2
ὑπεξέρχομαι : 6
βαρύτης : 2
Ἁλικαρνασσεύς : 2
ἐπικαταβαίνω : 2
περικάθημαι : 2
γοργός : 2
γόης : 2
γνάμπτω : 2
ἐπισημασία : 3
ἐπιρρώομαι : 4
φιλοδοξέω : 2
Φάρος : 3
διεξάγω : 2
ἀσθμαίνω : 2
πόλινδε : 2
ἐπιτίμησις : 3
χεῖμα : 2
ὑπερῴα : 5
περιτρέχω : 4
ὕπνον : 5
ἐμπλήσσω : 2
λίπτομαι : 2
περιφερής : 4
ἀψόρροος : 3
ἐπίμαχος : 2
Ἀχαιικός : 2
ἀφομοιόω : 2
ἐπιχράω : 3
λυπρός : 2
ὑψιπέτης : 4
πινυτός : 10
ὑπόπτερος : 8
βαλλάντιον : 3
καταλήγω : 2
ἔνεροι : 2
καταξιόω : 2
μεταίτιος : 4
Μέλας : 3
μεγαλόφρων : 8
ὑφηγέομαι : 4
εὔπεπλος : 2
Ἴφιτος : 2
ματεύω : 5
κατασκοπή : 2
κάπριος : 2
ἀραῖος : 2
Λυκομήδης : 2
θηρευτής : 4
φαέθω : 5
Βορυσθενίτης : 2
βρώμη : 3
θεωρός : 3
μῶμος : 2
θέρω : 2
κηδεύω : 2
μόσχος2 : 2
Ῥοδόπη : 2
θέμεθλα : 2
ὄργανος : 2
Κῷος : 2
Ὀλύμπια : 2
θοίνη : 2
Θρῖα : 2
θλίβω : 2
πάππης : 2
ἵππιος : 2
ἱζάνω : 2
γενεαλογέω : 2
ἱππόκομος : 2
καλλίρροος : 2
Στράτιος : 2
περιβαίνω : 2
Ἰώ : 2
γήλοφος : 2
ἴτυς : 2
ἰσχυρίζομαι : 2
Ἀμαζονίς : 2
ἐγκώμιον : 2
κατατρίβω : 2
Ἀριστόνικος : 2
Καλυδών : 2
συνομολογέω : 2
Φαρσάλιος : 2
δαήμων : 2
φανή : 5
πυρπολέω : 2
εὐλογία : 2
εὐρυμέτωπος : 3
νύχιος : 2
ἐϋστρεφής : 4
Δηώ : 2
εὐσχημοσύνη : 4
δημηγορία : 2
Χρύσης : 2
διαγγέλλω : 2
εὐφυΐα : 2
Νευροί : 2

file5: 

lemmi nel file json 3980
elementi ripetuti: 973


```
διαπρεπής : 3
ἐπιβιόω : 2
διαπρεσβεία : 3
πάραλος : 6
διαπόντιος : 2
ἐπερώτησις : 4
παρακοπή : 7
ἐπέλπομαι : 3
παρακοίτης : 7
διαπειλέω : 3
παρακαταβάλλω : 9
παραίτησις : 6
ἐπανίημι : 4
διαμηρίζω : 3
ἐπικλίνω : 4
καταπροΐεμαι : 2
παρασημαίνομαι : 5
ἐπίηρα : 2
πανουργία : 2
ἐπικλάζω : 4
διατριβικός : 2
ἐπιγουνίς : 2
Ἑρμιόνη : 3
παρεξειρεσία : 2
ἐπιμανθάνω : 3
παρασπόνδησις : 2
διαφοιτάω : 3
διαυγής : 2
καταφλέγω : 2
παραφθάνω : 2
διεξοδικός : 3
κατασπείρω : 2
διεκβάλλω : 3
κατασκώπτω : 2
διεγείρω : 2
παχνόω : 2
δοιάζω : 3
παράφραγμα : 2
παρισόω : 5
περίκλασις : 2
ἐπίπλοος : 2
κινδύνευμα : 2
διφρηλάτης : 2
ἐπιτροπεία : 2
διπλασιάζω : 2
πλυνός : 2
ἐπίχαρις : 2
παρηορία : 2
